Date,Species,sex,Standard.Length,Fork.Length,Total.Length,Condition
5/4/2004,L. analis,,,,,
5/4/2004,L. analis,,,,,
5/4/2004,M. bonaci,,,,,
5/4/2004,Nurse shark,M,88,,137,E
5/5/2004,M. venenosa,,,,,
5/5/2004,M. bonaci,,,,,
5/5/2004,Caribbean reef shark,F,160,179,215,E
5/5/2004,Nurse shark,M,138,,200,E
5/6/2004,S. barracuda,,,,,
5/5/2004,M. bonaci,,,,,
5/5/2004,Caribbean reef shark,M,85,96,117,E
5/5/2004,Caribbean reef shark,F,96,108,134,E
5/5/2004,Nurse shark,M,105,,157,E
5/5/2004,Nurse shark,M,135,,197,E
5/5/2004,Nurse shark,F,118,,169,E
5/5/2004,Nurse shark,M,102,,147,E
5/6/2004,Nurse shark,M,106,,152,E
5/6/2004,Nurse shark,F,109,,158,E
5/6/2004,C. latus,,,,,
5/7/2004,Nurse shark,,,,,
5/7/2004,G. moringa,,,,,
5/7/2004,G. moringa,,,,,
5/7/2004,S. barracuda,,,,,
5/7/2004,Nurse shark,M,104,,155,E
5/7/2004,Nurse shark,,,,,
5/8/2004,Nurse shark,F,114,,164,G
5/8/2004,M. bonaci,,,,,
5/8/2004,Caribbean reef shark,M,73,83,101,D
5/8/2004,Nurse shark,F,81,,111,E
5/10/2004,Nurse shark,F,107,,145,E
5/10/2004,Nurse shark,M,107,,165,E
5/10/2004,Nurse shark,,,,,
5/10/2004,Nurse shark,,,,,
5/10/2004,Nurse shark,F,132,,185,E
5/11/2004,Nurse shark,F,117,,164,E
5/11/2004,Southern stingray,F,,,,
5/11/2004,Nurse shark,M,130,,183,E
5/11/2004,Southern stingray,F,,,,
5/11/2004,Nurse shark,F,,,est. 220,E
5/11/2004,Nurse shark,M,160,,231,E
5/22/2005,Caribbean reef shark,F,161,174,217,F
5/22/2005,M. bonaci,,,78.8,79.2,D
5/22/2005,Caribbean reef shark,M,123,136,167,E
5/22/2005,Caribbean reef shark,F,86,97,120,E
5/22/2005,Nurse shark,F,119,,172,E
5/22/2005,Nurse shark,F,110,,155,E
5/22/2005,Nurse shark,F,120,,174,E
5/22/2005,Nurse shark,M,122,,173,E
5/22/2005,Nurse shark,F,,,,E
5/22/2005,Nurse shark,F,112,,170,E
5/22/2005,R. porosus,F,69,76,91,D
5/23/2005,Nurse shark,M,95,,140,E
5/23/2005,Nurse shark,M,107,,170,E
5/23/2005,Nurse shark,M,117,,182,E
5/23/2005,Caribbean reef shark,M,74,81,101,E
5/23/2005,Caribbean reef shark,M,72,80,102,G
5/23/2005,R. porosus,F,76,83,98,G
5/23/2005,Caribbean reef shark,M,74,78.5,96,F
5/23/2005,Caribbean reef shark,M,94,104,127,G
5/23/2005,Southern stingray,F,,,,E
5/23/2005,Nurse shark,F,110,,172,E
5/23/2005,Nurse shark,M,119,,176,E
5/23/2005,Nurse shark,F,110,,164,E
5/23/2005,Southern stingray,F,,,,E
5/24/2005,Nurse shark,F,120,,170,E
5/24/2005,Nurse shark,F,110,,162,E
5/24/2005,Nurse shark,F,123,,177,E
5/24/2005,Nurse shark,M,108,,147,E
5/24/2005,Nurse shark,F,115,,172,E
5/24/2005,Caribbean reef shark,F,68,76,95,E
5/24/2005,Caribbean reef shark,F,89,102,124,E
5/24/2005,Caribbean reef shark,F,105,114,142,E
5/24/2005,Caribbean reef shark,M,71,80,100,E
5/24/2005,Caribbean reef shark,M,92,101,122,E
5/24/2005,Caribbean reef shark,F,69,77,96,D
5/24/2005,Nurse shark,M,129,,187,E
5/24/2005,Nurse shark,M,96,,155,E
5/24/2005,Nurse shark,M,166,,237,E
5/25/2005,Caribbean reef shark,F,59,66,80,G
5/25/2005,Caribbean reef shark,M,62,68,85,G
5/25/2005,Nurse shark,F,94,,126,E
5/25/2005,Nurse shark,F,108,,144,E
5/25/2005,S. barracuda,,,,,D
5/25/2005,Nurse shark,F,89,,131,E
5/25/2005,Nurse shark,M,94,,137,E
5/25/2005,Nurse shark,F,112,,165,E
5/25/2005,Caribbean reef shark,M,69,76,99,E
5/25/2005,G. funebris,,,,,D
5/25/2005,Nurse shark,F,160,,222,
5/25/2005,Nurse shark,,,,,
5/25/2005,Nurse shark,F,155,,226,
5/25/2005,Southern stingray,F,,,,
5/25/2005,Nurse shark,F,122,,182.5,
5/25/2005,L. analis,,21,25,27,
5/25/2005,Nurse shark,F,129,,183,
5/26/2005,M. bonaci,,,,74,
5/26/2005,M. venenosa,,,,62,
5/26/2005,Nurse shark,F,100,,152.5,E
5/26/2005,Nurse shark,F,83,,120,E
5/26/2005,Nurse shark,,,,,E
5/26/2005,Nurse shark,M,159,,222,E
5/26/2005,Nurse shark,M,133,,177,E
5/26/2005,Nurse shark,M,128,,181,E
5/27/2005,S. barracuda,,,100,107,D
5/28/2005,Southern stingray,F,,,,E
5/28/2005,Nurse shark,F,172,,240,E
5/28/2005,Nurse shark,M,123,,176,E
5/28/2005,Nurse shark,F,109,,159,E
5/28/2005,Nurse shark,M,109,,154,E
5/28/2005,Nurse shark,F,95.5,,147,E
5/28/2005,Nurse shark,F,116,,190,E
5/28/2005,Nurse shark,F,101,,145,E
5/28/2005,Nurse shark,M,,,,E
5/28/2005,Nurse shark,F,170,,178,E
5/28/2005,Southern stingray,F,,,,E
5/28/2005,Nurse shark,F,132,,195,E
5/28/2005,Nurse shark,M,104,,152,E
5/28/2005,Nurse shark,F,140,,217.5,E
5/28/2005,N. brevirostris,F,136,148,177,E
5/28/2005,Caribbean reef shark,M,84,93,110,E
5/28/2005,Nurse shark,F,109,,185,E
5/28/2005,Nurse shark,,,,,E
5/28/2005,Nurse shark,M,98,,142,E
5/28/2005,Nurse shark,,,,,E
5/28/2005,Nurse shark,,,,,E
5/28/2005,Nurse shark,F,132,,182.5,E
5/29/2005,Nurse shark,M,136,,198,E
5/29/2005,Nurse shark,M,96,,141,E
5/29/2005,R. porosus,F,62,69,83.2,G
5/29/2005,L. analis,,,65,69,D
5/30/2005,Nurse shark,M,120,,179,E
5/30/2005,Nurse shark,F,110,,161,E
5/30/2005,Nurse shark,F,136,,194,E
5/30/2005,S. barracuda,,,91,99,D
5/30/2005,Nurse shark,F,106,,159,E
5/30/2005,Caribbean reef shark,F,73,80,100,E
5/30/2005,Nurse shark,M,156,,228,E
5/30/2005,Caribbean reef shark,F,68,75,93,E
5/30/2005,Caribbean reef shark,F,71,80,96,E
5/30/2005,Caribbean reef shark,M,74,79,98,G
5/30/2005,Caribbean reef shark,F,78,86,110,G
6/1/2005,Nurse shark,F,125,,177,E
10/2/2005,Caribbean reef shark,F,111,131,150,G
10/3/2005,G. cuvier,M,199,220,253,E
10/3/2005,Caribbean reef shark,F,92,103,122,D
4/28/2006,N. brevirostris,F,136,148,174,G
4/29/2006,Nurse shark,F,110,,160,E
4/29/2006,Nurse shark,F,,,200+,E
4/29/2006,Nurse shark,M,110,,159,E
4/29/2006,Caribbean reef shark,F,71,79,95,E
4/29/2006,Nurse shark,F,120,,169,E
4/29/2006,Nurse shark,F,75,,105,E
4/29/2006,Nurse shark,F,148,,206,E
4/29/2006,Nurse shark,F,92,,113,E
4/29/2006,Nurse shark,F,115,,165,E
4/29/2006,Nurse shark,F,143,,215,E
